ID;Woonplaatscode;Woonplaats;ProvincieCode;Gemeentecode;ProvincieName
310;WP1111    ;Brummen                            ;;;
311;WP2849    ;Brunssum                           ;;;
312;WP3008    ;Midden-Drenthe                     ;;;
313;WP2809    ;Sittard-Geleen                     ;;;
314;WP1571    ;Cranendonck                        ;;;
315;WP1573    ;Cranendonck                        ;;;
316;WP1572    ;Cranendonck                        ;;;
317;WP2941    ;Leudal                             ;;;
318;WP1785    ;Borger-Odoorn                      ;;;
319;WP1786    ;Borger-Odoorn                      ;;;
320;WP1607    ;Haarlemmermeer                     ;;;
321;WP3175    ;Achtkarspelen                      ;;;
322;WP2697    ;Steenwijkerland                    ;;;
323;WP1461    ;Meerssen                           ;;;
324;WP2914    ;Tynaarlo                           ;;;
325;WP2603    ;Bunnik                             ;;;
326;WP2237    ;Bunschoten                         ;;;
327;WP3200    ;Ferwerderadiel                     ;;;
328;WP2589    ;Ameland                            ;;;
329;WP3372    ;Buren                              ;;;
330;WP2740    ;Texel                              ;;;
331;WP2762    ;Schagen                            ;;;
332;WP1603    ;Haarlemmermeer                     ;;;
333;WP2676    ;Schouwen-Duiveland                 ;;;
334;WP2451    ;Tytsjerksteradiel                  ;;;
335;WP2304    ;Sudwest-Fryslan                    ;;;
336;WP3308    ;Kollumerland en Nieuwkruisland     ;;;
337;WP1331    ;Gooise Meren                       ;;;
338;WP3373    ;Buren                              ;;;
339;WP3532    ;Geldermalsen                       ;;;
340;WP1692    ;Eijsden-Margraten                  ;;;
341;WP2964    ;Sluis                              ;;;
342;WP2757    ;Schagen                            ;;;
343;WP1105    ;Capelle aan den IJssel             ;;;
344;WP2885    ;Baarle-Nassau                      ;;;
345;WP2328    ;Venray                             ;;;
346;WP1067    ;Bladel                             ;;;
347;WP2268    ;Castricum                          ;;;
348;WP3433    ;Alphen-Chaam                       ;;;
349;WP3092    ;Hulst                              ;;;
350;WP2737    ;Texel                              ;;;
351;WP2147    ;Coevorden                          ;;;
352;WP3190    ;Noord-Beveland                     ;;;
353;WP1544    ;Hardenberg                         ;;;
354;WP2855    ;Deventer                           ;;;
355;WP2305    ;Sudwest-Fryslan                    ;;;
356;WP1304    ;Wijk bij Duurstede                 ;;;
357;WP1281    ;Noordoostpolder                    ;;;
358;WP1620    ;Vught                              ;;;
359;WP1612    ;Haarlemmermeer                     ;;;
360;WP1450    ;Cuijk                              ;;;
361;WP2052    ;Culemborg                          ;;;
362;WP1038    ;Hellendoorn                        ;;;
363;WP1039    ;Hellendoorn                        ;;;
364;WP2300    ;Gorinchem                          ;;;
365;WP2148    ;Coevorden                          ;;;
366;WP2149    ;Coevorden                          ;;;
367;WP2150    ;Coevorden                          ;;;
368;WP1237    ;Dalfsen                            ;;;
369;WP2550    ;Ommen                              ;;;
370;WP3266    ;Dantumadiel                        ;;;
371;WP3106    ;Westerveld                         ;;;
372;WP2526    ;Sudwest-Fryslan                    ;;;
373;WP1546    ;Hardenberg                         ;;;
374;WP2306    ;Sudwest-Fryslan                    ;;;
375;WP2773    ;Ede                                ;;;
376;WP2903    ;Druten                             ;;;
377;WP3217    ;Geldermalsen                       ;;;
378;WP2727    ;Waadhoeke                          ;;;
379;WP1440    ;Hof van Twente                     ;;;
380;WP1143    ;Pijnacker-Nootdorp                 ;;;
381;WP2240    ;De Fryske Marren                   ;;;
382;WP2138    ;Delft                              ;;;
383;WP3234    ;Delfzijl                           ;;;
384;WP2630    ;Zaltbommel                         ;;;
385;WP3260    ;Oss                                ;;;
386;WP1408    ;Dinkelland                         ;;;
387;WP1774    ;Deurne                             ;;;
388;WP1669    ;Oldenzaal                          ;;;
389;WP1409    ;Dinkelland                         ;;;
390;WP3256    ;Oss                                ;;;
391;WP1154    ;Aa en Hunze                        ;;;
392;WP2856    ;Deventer                           ;;;
393;WP2205    ;Montferland                        ;;;
394;WP3259    ;Oss                                ;;;
395;WP2144    ;Diemen                             ;;;
396;WP1441    ;Hof van Twente                     ;;;
397;WP2857    ;Deventer                           ;;;
398;WP1504    ;Rheden                             ;;;
399;WP1308    ;Hilvarenbeek                       ;;;
400;WP3107    ;Westerveld                         ;;;
401;WP3108    ;Westerveld                         ;;;
402;WP1548    ;Hardenberg                         ;;;
403;WP2487    ;De Fryske Marren                   ;;;
404;WP1402    ;Steenbergen                        ;;;
405;WP1196    ;Aalten                             ;;;
406;WP2152    ;Coevorden                          ;;;
407;WP3289    ;Schagen                            ;;;
408;WP2377    ;Goeree-Overflakkee                 ;;;
409;WP1094    ;Neder-Betuwe                       ;;;
410;WP2100    ;Schinnen                           ;;;
411;WP2142    ;Doesburg                           ;;;
412;WP3246    ;Doetinchem                         ;;;
413;WP3514    ;Heusden                            ;;;
414;WP2174    ;Grootegast                         ;;;
415;WP3391    ;Dongeradeel                        ;;;
416;WP2822    ;Zeist                              ;;;
417;WP3109    ;Westerveld                         ;;;
418;WP2776    ;Veere                              ;;;
419;WP2916    ;Tynaarlo                           ;;;
420;WP2799    ;Dongen                             ;;;
421;WP1372    ;Waadhoeke                          ;;;
422;WP2488    ;De Fryske Marren                   ;;;
423;WP1754    ;Ooststellingwerf                   ;;;
424;WP3339    ;Utrechtse Heuvelrug                ;;;
425;WP3134    ;Lingewaard                         ;;;
426;WP1846    ;Elburg                             ;;;
427;WP2986    ;Renkum                             ;;;
428;WP2351    ;Dordrecht                          ;;;
429;WP2959    ;Oosterhout                         ;;;
430;WP3279    ;Smallingerland                     ;;;
431;WP3344    ;Opsterland                         ;;;
432;WP3280    ;Smallingerland                     ;;;
433;WP2677    ;Schouwen-Duiveland                 ;;;
434;WP1520    ;Bronckhorst                        ;;;
435;WP1771    ;West Maas en Waal                  ;;;
436;WP3335    ;Utrechtse Heuvelrug                ;;;
437;WP1422    ;Oldambt                            ;;;
438;WP2477    ;Bodegraven-Reeuwijk                ;;;
439;WP2836    ;Velsen                             ;;;
440;WP1886    ;Alkmaar                            ;;;
441;WP1863    ;Overbetuwe                         ;;;
442;WP1253    ;Borsele                            ;;;
443;WP3268    ;Dantumadiel                        ;;;
444;WP3009    ;Midden-Drenthe                     ;;;
445;WP2574    ;Drimmelen                          ;;;
446;WP3176    ;Achtkarspelen                      ;;;
447;WP3163    ;De Wolden                          ;;;
448;WP1952    ;Aalburg                            ;;;
449;WP2729    ;Waadhoeke                          ;;;
450;WP2430    ;Dronten                            ;;;
451;WP1787    ;Borger-Odoorn                      ;;;
452;WP1788    ;Borger-Odoorn                      ;;;
453;WP1789    ;Borger-Odoorn                      ;;;
454;WP3589    ;Heusden                            ;;;
455;WP2904    ;Druten                             ;;;
456;WP2096    ;Duiven                             ;;;
457;WP3568    ;Ouder-Amstel                       ;;;
458;WP2992    ;Eersel                             ;;;
459;WP2058    ;Sint-Michielsgestel                ;;;
460;WP2214    ;Werkendam                          ;;;
461;WP3110    ;Westerveld                         ;;;
462;WP2524    ;Leeuwarden                         ;;;
463;WP2456    ;Tytsjerksteradiel                  ;;;
464;WP2013    ;Sudwest-Fryslan                    ;;;
465;WP2014    ;Leeuwarden                         ;;;
466;WP2454    ;Tytsjerksteradiel                  ;;;
467;WP2015    ;Sudwest-Fryslan                    ;;;
468;WP2041    ;Echt-Susteren                      ;;;
469;WP3524    ;Neder-Betuwe                       ;;;
470;WP3164    ;De Wolden                          ;;;
471;WP2241    ;De Fryske Marren                   ;;;
472;WP2242    ;De Fryske Marren                   ;;;
473;WP3374    ;Buren                              ;;;
474;WP1693    ;Eijsden-Margraten                  ;;;
475;WP1747    ;Edam-Volendam                      ;;;
476;WP2764    ;Ede                                ;;;
477;WP2769    ;Ede                                ;;;
478;WP3392    ;Dongeradeel                        ;;;
479;WP2966    ;Sluis                              ;;;
480;WP1336    ;Lochem                             ;;;
481;WP2909    ;Tynaarlo                           ;;;
482;WP2911    ;Tynaarlo                           ;;;
483;WP2238    ;Bunschoten                         ;;;
484;WP1037    ;Eemnes                             ;;;
485;WP3473    ;Eemsmond                           ;;;
486;WP1634    ;Noordenveld                        ;;;
487;WP3415    ;De Marne                           ;;;
488;WP3444    ;Loppersum                          ;;;
489;WP1635    ;Noordenveld                        ;;;
490;WP1114    ;Brummen                            ;;;
491;WP2993    ;Eersel                             ;;;
492;WP1790    ;Borger-Odoorn                      ;;;
493;WP1791    ;Borger-Odoorn                      ;;;
494;WP1792    ;Borger-Odoorn                      ;;;
495;WP2243    ;De Fryske Marren                   ;;;
496;WP2699    ;Steenwijkerland                    ;;;
497;WP1953    ;Aalburg                            ;;;
498;WP1155    ;Aa en Hunze                        ;;;
499;WP1156    ;Aa en Hunze                        ;;;
500;WP1157    ;Aa en Hunze                        ;;;
501;WP1158    ;Aa en Hunze                        ;;;
502;WP3439    ;Peel en Maas                       ;;;
503;WP3048    ;Bergen (NH.)                       ;;;
504;WP3049    ;Bergen (NH.)                       ;;;
505;WP3050    ;Bergen (NH.)                       ;;;
506;WP1662    ;Berkelland                         ;;;
507;WP1700    ;Eijsden-Margraten                  ;;;
508;WP1101    ;Eindhoven                          ;;;
509;WP2810    ;Sittard-Geleen                     ;;;
510;WP1159    ;Aa en Hunze                        ;;;
511;WP1675    ;De Fryske Marren                   ;;;
512;WP1844    ;Elburg                             ;;;
513;WP1160    ;Aa en Hunze                        ;;;
514;WP1161    ;Aa en Hunze                        ;;;
515;WP1811    ;Hoogeveen                          ;;;
516;WP1235    ;Gulpen-Wittem                      ;;;
517;WP2942    ;Leudal                             ;;;
518;WP1503    ;Rheden                             ;;;
519;WP2678    ;Schouwen-Duiveland                 ;;;
520;WP1793    ;Borger-Odoorn                      ;;;
521;WP1254    ;Borsele                            ;;;
522;WP3010    ;Midden-Drenthe                     ;;;
523;WP2095    ;Gemert-Bakel                       ;;;
524;WP3590    ;Heusden                            ;;;
525;WP1914    ;Stein                              ;;;
526;WP1755    ;Ooststellingwerf                   ;;;
527;WP2983    ;Nunspeet                           ;;;
528;WP1864    ;Overbetuwe                         ;;;
529;WP1400    ;Rhenen                             ;;;
530;WP1271    ;Noordoostpolder                    ;;;
531;WP1988    ;Emmen                              ;;;
532;WP1989    ;Emmen                              ;;;
533;WP1109    ;Brummen                            ;;;
534;WP1346    ;Epe                                ;;;
535;WP3393    ;Dongeradeel                        ;;;
536;WP2754    ;Enkhuizen                          ;;;
537;WP1276    ;Noordoostpolder                    ;;;
538;WP1145    ;Enschede                           ;;;
539;WP3216    ;Geldermalsen                       ;;;
540;WP1088    ;Wierden                            ;;;
541;WP2340    ;Leek                               ;;;
542;WP1344    ;Epe                                ;;;
543;WP1232    ;Gulpen-Wittem                      ;;;
544;WP3474    ;Eemsmond                           ;;;
545;WP1337    ;Lochem                             ;;;
546;WP1990    ;Emmen                              ;;;
547;WP3375    ;Buren                              ;;;
548;WP2874    ;Berg en Dal                        ;;;
549;WP2153    ;Coevorden                          ;;;
550;WP2573    ;Ermelo                             ;;;
551;WP2826    ;Meierijstad                        ;;;
552;WP1311    ;Hilvarenbeek                       ;;;
553;WP1426    ;Haaren                             ;;;
554;WP3195    ;Grave                              ;;;
555;WP1280    ;Noordoostpolder                    ;;;
556;WP3359    ;Neerijnen                          ;;;
557;WP1581    ;Oude IJsselstreek                  ;;;
558;WP1010    ;Etten-Leur                         ;;;
559;WP3081    ;Rotterdam                          ;;;
560;WP3011    ;Midden-Drenthe                     ;;;
561;WP3165    ;De Wolden                          ;;;
562;WP2840    ;Vianen                             ;;;
563;WP1517    ;Horst aan de Maas                  ;;;
564;WP2752    ;Beuningen                          ;;;
565;WP1779    ;Borger-Odoorn                      ;;;
566;WP1780    ;Borger-Odoorn                      ;;;
567;WP1794    ;Borger-Odoorn                      ;;;
568;WP1795    ;Borger-Odoorn                      ;;;
569;WP2307    ;Sudwest-Fryslan                    ;;;
570;WP2650    ;Kerkrade                           ;;;
571;WP1234    ;Gulpen-Wittem                      ;;;
572;WP2467    ;Winsum                             ;;;
573;WP3267    ;Dantumadiel                        ;;;
574;WP3235    ;Delfzijl                           ;;;
575;WP3271    ;Dantumadiel                        ;;;
576;WP2468    ;Winsum                             ;;;
577;WP3226    ;Leeuwarden                         ;;;
578;WP3201    ;Ferwerderadiel                     ;;;
579;WP2308    ;Sudwest-Fryslan                    ;;;
580;WP1321    ;Moerdijk                           ;;;
581;WP1419    ;Oldambt                            ;;;
582;WP1378    ;Waadhoeke                          ;;;
583;WP1284    ;Tubbergen                          ;;;
584;WP1812    ;Hoogeveen                          ;;;
